country,continent,gni_per_capita_recent,fem_life_expec_recent,male_life_expec_recent,overall_life_expec_recent,total_population_recent,female_population_recent,male_population_recent
Romania,Europe,11290,79.1,71.7,75.3097561,19473936,9998648,9475288
Russian Federation,Europe,10230,77.41,67.08,72.11902439,144478050,77529468,66948582
Rwanda,Africa,780,70.398,66.187,68.341,12301939,6256897,6045042
Samoa,Oceania,4020,75.189,71.055,73.046,196130,94645,101485
Sao Tome and Principe,Africa,1890,72.329,67.565,69.933,211028,105437,105591
Saudi Arabia,Asia,21600,76.487,73.671,74.874,33699947,14304228,19395719
Senegal,Africa,1410,69.324,65.242,67.38,15854360,8129692,7724668
Serbia,Europe,6390,78.7,73.6,76.08780488,6982084,3561039,3421045
Seychelles,Africa,15600,78.5,70.3,74.3,96762,47079,49683
Sierra Leone,Africa,490,54.697,53.049,53.895,7650154,3834355,3815799
Singapore,Asia,58770,85.2,80.7,82.89512195,5638676,2687287,2951389
Slovak Republic,Europe,18260,80.7,73.8,77.16585366,5447011,2796405,2650606
Slovenia,Europe,24580,84.3,78.2,81.17560976,2067372,1038755,1028617
Solomon Islands,Oceania,2020,74.505,70.984,72.645,652858,320910,331948
South Africa,Africa,5750,67.064,60.162,63.538,57779622,29290888,28488734
Spain,Europe,29340,86.3,80.5,83.32926829,46723749,23780819,22942930
Sri Lanka,Asia,4060,79.979,73.238,76.648,21670000,11261209,10408791
St. Kitts and Nevis,Americas,18340,78.7,73.7,76.2,52441,26377.823,26063.177
St. Lucia,Americas,9560,77.283,74.581,75.907,181889,92309,89580
St. Vincent and the Grenadines,Americas,7340,74.892,70.075,72.3,110210,54233,55977
Sudan,Africa,1560,66.705,63.09,64.881,41801533,20920587,20880946
Suriname,Americas,5210,74.817,68.274,71.463,575991,286366,289625
Sweden,Europe,55490,84.1,80.6,82.30731707,10183175,5086066,5097109
Switzerland,Europe,84410,85.6,81.7,83.60243902,8516543,4294648,4221895
Tajikistan,Asia,1010,72.961,68.493,70.647,9100837,4512544,4588293
Tanzania,Africa,1020,66.346,62.581,64.479,56318348,28187903,28130445
Thailand,Asia,6610,80.468,72.977,76.683,69428524,35595105,33833419
Timor-Leste,Asia,1820,71.092,67.053,69.007,1267972,627120,640852
Togo,Africa,660,61.317,59.644,60.489,7889094,3965693,3923401
Tonga,Oceania,4300,72.648,68.788,70.701,103197,51585,51612
Trinidad and Tobago,Americas,15950,75.955,70.616,73.245,1389858,703148,686710
Tunisia,Africa,3500,78.35,74.297,76.31,11565204,5833160,5732044
Turkey,Asia,10420,80.088,74.149,77.161,82319724,41717836,40601888
Turkmenistan,Asia,6740,71.449,64.504,67.956,5850908,2969964,2880944
Turks and Caicos Islands,Americas,26740,83,77.3,80.1,37665,17853.21,19811.79
Tuvalu,Oceania,5430,69.5,65,67.2,11508,5777.016,5730.984
Uganda,Africa,620,64.64,60.27,62.516,42723139,21693135,21030004
Ukraine,Europe,2660,76.78,67.02,71.78097561,44622516,23956825,20665691
